"wavelength_A","unknown1","unknown2","unknown3","unknown4","unknown5"
4190,0.6915,0.4854,0.8388,0.8143,0.5802
4191,0.6924,0.4937,0.8457,0.8152,0.584
4192,0.6952,0.5063,0.8502,0.8151,0.584
4193,0.698,0.5155,0.8487,0.8195,0.5725
4194,0.7006,0.5101,0.8548,0.8236,0.5725
4195,0.6968,0.488,0.8464,0.8225,0.5439
4196,0.6957,0.4705,0.8184,0.8188,0.497
4197,0.6725,0.4316,0.7943,0.8105,0.458
4198,0.6644,0.4096,0.7834,0.8105,0.4466
4199,0.6464,0.3826,0.7895,0.8062,0.458
4200,0.6426,0.3777,0.7971,0.8136,0.4695
4201,0.6459,0.3777,0.8001,0.8173,0.4771
4202,0.6597,0.4047,0.8047,0.8321,0.5045
4203,0.6746,0.4245,0.809,0.8421,0.5333
4204,0.6806,0.4611,0.8312,0.8587,0.5596
4205,0.6863,0.4782,0.8457,0.8654,0.5821
4206,0.687,0.4929,0.8522,0.8469,0.6002
4207,0.6951,0.4979,0.856,0.8484,0.6088
4208,0.701,0.5015,0.8552,0.8417,0.6183
4209,0.7034,0.5028,0.8599,0.8343,0.6221
4210,0.7084,0.501,0.8692,0.8198,0.6372
4211,0.7044,0.5162,0.8774,0.8254,0.645
4212,0.7082,0.5101,0.876,0.824,0.6336
4213,0.7127,0.4899,0.8806,0.8114,0.6031
4214,0.7132,0.4683,0.8669,0.821,0.5687
4215,0.7186,0.4347,0.8563,0.8269,0.5458
4216,0.7139,0.4169,0.8411,0.8269,0.541
4217,0.7117,0.4098,0.8372,0.8153,0.5488
4218,0.6901,0.4047,0.8487,0.7929,0.5563
4219,0.6901,0.3789,0.8472,0.7936,0.542
4220,0.6949,0.3532,0.8441,0.8147,0.4809
4221,0.6987,0.3213,0.8426,0.8225,0.4008
4222,0.6968,0.2955,0.8502,0.8343,0.355
4223,0.6953,0.2538,0.8024,0.8343,0.3092
4224,0.6913,0.2094,0.7423,0.8253,0.2466
4225,0.6932,0.1864,0.6916,0.8018,0.229
4226,0.6934,0.1668,0.6802,0.8018,0.2366
4227,0.693,0.157,0.7075,0.7988,0.2719
4228,0.6946,0.1717,0.7531,0.8062,0.3302
4229,0.7006,0.1901,0.7925,0.8151,0.3769
4230,0.7034,0.2146,0.832,0.818,0.4122
4231,0.6987,0.2464,0.8397,0.8121,0.4458
4232,0.6949,0.2747,0.8441,0.8018,0.4504
4233,0.6906,0.2997,0.8419,0.8033,0.4542
4234,0.6901,0.3191,0.8123,0.8121,0.4599
4235,0.6877,0.3432,0.799,0.821,0.4676
4236,0.692,0.3685,0.7773,0.8402,0.4833
4237,0.6939,0.3887,0.7865,0.8443,0.5043
4238,0.6957,0.402,0.7991,0.8358,0.5324
4239,0.6873,0.4122,0.829,0.8321,0.5429
4240,0.6849,0.4262,0.8335,0.8291,0.5649
4241,0.6836,0.4385,0.835,0.8136,0.5954
4242,0.6827,0.4559,0.8366,0.7988,0.6126
4243,0.6804,0.4752,0.8495,0.7914,0.626
4244,0.6804,0.4856,0.8479,0.7803,0.6183
4245,0.6803,0.4847,0.859,0.7693,0.6
4246,0.6816,0.4709,0.8335,0.767,0.5563
4247,0.6778,0.4586,0.8214,0.77,0.521
4248,0.6654,0.4329,0.8016,0.7633,0.4828
4249,0.6597,0.4034,0.7865,0.7692,0.4504
4250,0.6611,0.3691,0.7743,0.7766,0.4313
4251,0.6668,0.3384,0.7652,0.7825,0.4294
4252,0.6779,0.3144,0.7966,0.7931,0.4108
4253,0.6806,0.2894,0.7914,0.7722,0.4275
