No	Ref	B	V
9127	132	16.19	14.72
9139	312	18.12	16.55
9143	312	17.85	16.2
9150	132	17.13	15.62
9154	312	17.85	16.16
9156	132	17.6	16.01
9173	312	16.72	15.16
9174	312	19.21	17.6
9179	312	18.17	16.66
9180	312	17.91	16.35
9196	312	17.75	16.18
9197	132	16.76	15.27
9201	132	18.68	16.92
9207	312	18.24	16.61
9213	312	18.15	16.57
9214	132	19.51	17.54
9256	132	15.89	14.48
9267	312	17.84	16.19
9289	132	15.86	14.45
9303	312	17.64	16.14
9308	132	15.6	14.23
9320	312	18.2	17.07
9323	312	18.43	16.87
9325	132	19.35	17.81
9326	312	18.45	16.8
9337	132	15.93	14.54
9339	132	15.32	13.97
9346	312	18.36	16.79
9363	312	17.13	15.78
9369	132	18.5	16.83
9369	312	18.5	16.83
9396	312	18.53	16.99
9398	359	14.11	12.96
9400	312	16.97	15.42
9412	132	15.11	13.8
9414	312	16.95	16.17
9461	359	16.04	14.8
9477	132	18.99	17.93
9555	359	14.19	13.01
9571	359	14.37	13.04
